State,District,Soil Type
Maharashtra,Ahmednagar,"Black Soil, Red Soil, Alluvial Soil, Laterite Soil"
Maharashtra,Beed,"Black Soil, Red Soil, Alluvial Soil, Laterite Soil"
Maharashtra,Dhule,"Black Soil, Red Soil, Alluvial Soil"
Maharashtra,Gondia,"Black Soil, Red Soil, Alluvial Soil"
Maharashtra,Hingoli,"Black Soil, Red Soil"
Maharashtra,Kolhapur,"Black Soil, Red Soil"
Maharashtra,Nanded,"Black Soil, Red Soil, Alluvial Soil"
Maharashtra,Nandurbar,"Black Soil, Red Soil, Alluvial Soil"
Maharashtra,Nashik,"Black Soil, Red Soil, Alluvial Soil"
Maharashtra,Osmanabad,"Black Soil, Red Soil"
Maharashtra,Parbhani,"Black Soil, Red Soil, Alluvial Soil"
Maharashtra,Pune,"Black Soil, Red Soil, Laterite Soil"
Maharashtra,Sangli,"Black Soil, Red Soil"
Maharashtra,Satara,"Black Soil, Red Soil, Laterite Soil"
Maharashtra,Solapur,"Black Soil, Red Soil"
Tamil Nadu,Ariyalur,"Clayey Soil, Black Soil"
Tamil Nadu,Coimbatore,"Black Soil, Alluvial Soil, Laterite Soil"
Tamil Nadu,Cuddalore,"Black Soil, Red Soil, Sandy Soil"
Tamil Nadu,Dharmapuri,Red Soil
Tamil Nadu,Dindigul,"Black Soil, Red Soil, Alluvial Soil"
Tamil Nadu,Erode,Red Soil
Tamil Nadu,Kanchipuram,"Black Soil, Alluvial Soil"
Tamil Nadu,Karur,Black Soil
Tamil Nadu,Krishnagiri,Red Soil
Tamil Nadu,Madurai,"Black Soil, Red Soil, Alluvial Soil"
Tamil Nadu,Namakkal,Red Soil
Tamil Nadu,Perambalur,"Black Soil, Red Soil"
Tamil Nadu,Salem,"Black Soil, Red Soil, Laterite Soil"
Tamil Nadu,Tiruppur,"Black Soil, Red Soil"
Tamil Nadu,Vellore,"Red Soil, Alluvial Soil"
Uttar Pradesh,Ambedkar Nagar,"Alluvial Soil, Sandy Soil"
Uttar Pradesh,Azamgarh,Alluvial Soil 
Uttar Pradesh,Bahraich,"Alluvial Soil, Sandy Soil, Loamy Soil"
Uttar Pradesh,Barabanki,Alluvial Soil 
Uttar Pradesh,Basti,Alluvial Soil 
Uttar Pradesh,Deoria,Alluvial Soil 
Uttar Pradesh,Gorakhpur,"Alluvial Soil, Loamy Soil"
Uttar Pradesh,Hardoi,Alluvial Soil 
Uttar Pradesh,Kheri,Alluvial Soil 
Uttar Pradesh,Maharajganj,Alluvial Soil
Uttar Pradesh,Mainpuri,"Alluvial Soil, Loamy Soil"
Uttar Pradesh,Moradabad,"Alluvial Soil, Loamy Soil"
Uttar Pradesh,Shahjahanpur,Alluvial Soil
Uttar Pradesh,Sitapur,Alluvial Soil 
Uttar Pradesh,Unnao,"Alluvial Soil, Loamy Soil"
West Bengal,24 parganas north,Alluvial Soil 
West Bengal,24 parganas south,Alluvial Soil 
West Bengal,Bankura,"Red Soil, Laterite Soil"
West Bengal,Bardhaman,"Red Soil, Alluvial Soil, Laterite Soil"
West Bengal,Birbhum,"Red Soil, Laterite Soil"
West Bengal,Coochbehar,"Alluvial Soil, Sandy Soil"
West Bengal,Darjeeling,"Forest Soil, Mountain Soil"
West Bengal,Dinajpur uttar,"Red Soil, Alluvial Soil, Laterite Soil"
West Bengal,Hooghly,Alluvial Soil
West Bengal,Jalpaiguri,"Alluvial Soil, Laterite Soil"
West Bengal,Maldah,Alluvial Soil
West Bengal,Medinipur west,"Alluvial Soil, Laterite Soil"
West Bengal,Murshidabad,Alluvial Soil
West Bengal,Nadia,"Alluvial Soil, Laterite Soil"
West Bengal,Purulia,"Red Soil, Laterite Soil"
